Customer_Age,Gender,Account_Balance,Num_Transactions,Credit_Score,Years_with_Bank,Loan_Amount,Has_CreditCard,Churn
56,Male,41324.01698251814,47,609.6951599459894,8,19506.382366917183,1,0
69,Female,61089.6399597394,34,617.259771974779,6,8427.186618876163,1,0
46,Female,58296.52215531609,39,760.0665043131248,15,12212.0823778466,0,0
32,Male,65752.52933674658,30,598.2627375068224,3,12348.42832313311,0,1
60,Male,5223.148185883387,45,663.7528125720482,9,24819.6887382363,0,0
25,Female,51622.51303001914,36,586.4570318767943,11,16625.934991027534,0,1
38,Female,88120.92650289254,42,604.1076285207715,14,20814.259828481372,1,0
56,Female,91636.13799729134,48,614.6415450234283,9,11053.826230959337,1,0
36,Female,35217.740458991975,51,751.3002079509187,10,17678.402329115528,1,0
40,Female,83014.9560677954,36,685.963783408124,15,25426.88722343726,0,0
28,Female,40964.2561393604,31,708.9301175895976,18,12111.38587799482,1,0
28,Female,50636.693515317915,42,523.522404151187,19,15921.23843070221,1,0
41,Male,51950.39083851871,33,652.425390573178,7,4093.5499500991427,1,0
53,Female,62720.09274263521,54,623.225373795588,19,8875.535280719778,0,0
57,Female,85034.16140727156,36,684.4626144738639,5,12324.456864017415,1,0
41,Male,66614.61340072777,29,818.4568108007546,18,6513.285528386232,1,0
20,Female,56846.70599190388,45,482.660953648583,1,25575.789420174773,1,1
39,Female,84182.78082595539,51,677.9614399537276,12,8295.943838067898,1,0
19,Male,39933.46524415714,48,804.3349926384805,6,21294.388736937963,0,0
41,Female,58069.56391330126,37,614.3148507190662,13,16494.689900251815,1,0
61,Male,84894.53070943822,47,660.4887337670282,17,15246.815588083704,0,0
47,Male,73232.65529476432,42,697.3598949872708,9,26889.309159721262,1,0
55,Male,48342.400563877185,47,499.0876482541536,1,0.0,1,0
19,Male,22176.080834993314,28,668.632903179623,12,13430.36082541516,1,0
38,Female,67771.45476987028,41,594.4154688759811,1,6356.957307476463,1,0
50,Male,20533.119952425266,41,793.3438153410751,4,0.0,1,1
29,Male,54687.46588272087,36,635.4840155144635,7,5442.146129938468,0,0
39,Female,89473.7099809167,37,600.2761834331634,5,15137.900280024567,1,0
61,Male,74918.96615754624,41,709.2642134723209,5,9197.222966348436,1,0
42,Male,9408.65054969582,41,684.1608900781307,7,22172.90871860119,1,1
66,Male,65011.287608507926,48,712.7154223757826,17,13289.233216469356,0,0
44,Male,52020.752134935145,34,783.7296688261747,12,12402.093162232457,0,0
59,Female,28157.064981863765,37,609.0354867992697,15,12437.752395951258,1,0
45,Male,68375.53239505256,39,770.3325083545128,3,14212.044750963689,0,0
33,Female,47706.55378023182,30,781.4213625171624,17,11652.171720457976,1,0
32,Female,47861.64903401256,33,596.2049332690179,14,8189.9704194866945,0,0
64,Male,63101.127960668004,37,602.9849348304833,15,22913.479071808288,1,0
68,Male,44352.88672746289,45,653.305576506171,15,10007.239596888434,0,0
61,Male,62393.39584666408,40,636.0225888700475,15,11931.787069230511,0,0
69,Male,45166.87775925165,39,769.6338628326507,19,18435.240640722488,0,0
20,Female,46538.46348443645,41,589.5252707322201,11,17549.929969258024,0,0
